sample_name	group	tsne1	tsne2
JV-015-RAN-IC-M2	1	7.784733232337078	6.263552102581809
BS-007-RAN-01-M3	1	66.1988931291008	26.73355151278757
BS-007-RAN-02-M3	1	-9.814426596159667	11.057814323537052
KT-004-SOC-16-M1	1	59.39898869227203	14.382906799043742
BS-135-RAN-IC-M3	1	5.161925501496158	19.620378925615682
JV-070-DAV-07-M3	1	-3.4180754547388177	6.65592209956087
BS-129-RAT-10-M5	1	4.6008614394311165	-2.137737502297077
JV-036-SOC-10-M2	1	60.21412369868345	-14.690448094631082
BS-126-RAT-05-M2	1	24.525347685665082	11.971498880530136
JV-017-RAN-10-M3	1	11.148930968322668	-3.8345145578469917
JV-070-DAV-04-M1	1	28.466419570859237	4.109623922239225
BS-356-RAN-03-M4	1	121.02984445281338	36.1953915147683
JV-090-MIN-IC-M4	1	-7.268310613312881	23.038735057689635
BS-391-RAN-06-M2	1	117.53924401920692	201.1971727091845
JV-061-MIN-03-M5	1	56.187268377671224	33.20033910255637
JV-070-MIN-01-M1	1	-15.06987173273851	5.42237460348364
KT-004-SOC-14-M1	1	36.51100602016103	12.006601390266173
JV-089-SOC-04-M1	1	20.642659130168543	16.07553076976365
BS-472-RAT-01-M1	1	59.63324712154906	89.3280922490454
BS-172-RAT-10-M3	1	2.054534604824569	24.8936631062781
BS-082D0	2	-55.43881035395654	-44.40665035650381
BS-364D0	2	-45.660448554205	-67.34082575491341
KT-313D0	2	-42.140036440482525	-54.890957727708006
KT-412D0	2	-67.17678430759305	-32.30332372635425
KT-445D0	2	-76.35940655371857	-37.43533102594274
KT-537D0	2	-68.53330787725525	-42.122132745202045
KT-538D0	2	-65.64508660713346	-51.2573583632496
KT-539D0	2	-53.33161557963572	-33.18490419264489
KT-663D0	2	-64.81440693693558	-58.23725742636875
KT-695D0	2	-60.103439443768856	-40.55193562822619
KT-723D0	2	-46.32400059292767	-59.759771967043065
