sample_name	group	UMAP-1	UMAP-2
KT-193D0	2	-1.0880086652924428	0.33805691054009873
KT-247D0	1	1.0064291723082652	-1.15693903459317
KT-347D0	1	0.90138373449546	-1.7297270346999816
KT-417D0	2	-1.1697606079270253	1.1363681505798646
KT-522D0	1	-0.051172897963703654	-1.3260006953597716
KT-525D0	1	1.0219813354323497	-0.6114274908424071
KT-565D0	2	-0.7225802771736989	0.5385907541393586
KT-705D0	2	-0.327302926032723	1.9453198860763856
JV-015-RAN-IC-M2	1	0.33876565769415995	-0.15830714000469964
BS-007-RAN-01-M3	1	0.050543060131452	-0.6992548753143004
BS-007-RAN-02-M3	1	1.3418698079894176	-1.0368529607177428
KT-004-SOC-16-M1	1	-0.41237192675370077	-1.0125641871810607
BS-135-RAN-IC-M3	1	0.48413715437155863	-1.4190421153426818
JV-070-DAV-07-M3	2	0.08702352568608425	0.310104216206009
JV-036-SOC-10-M2	1	0.4822780258963694	-0.6996613789916686
BS-126-RAT-05-M2	2	0.5861578352759471	0.43980106221430976
JV-070-DAV-04-M1	1	0.32996935322981974	-1.6917474318862609
BS-356-RAN-03-M4	2	-0.7846466533829579	1.8226864288925477
BS-391-RAN-06-M2	2	-0.6255513064553151	-0.07090738905674737
JV-061-MIN-03-M5	2	-0.2773945562531362	0.915292079317505
JV-070-MIN-01-M1	2	-0.6881584160019765	2.1185822437881776
KT-004-SOC-14-M1	2	0.10290266871553562	0.8010421942352601
JV-089-SOC-04-M1	2	-0.5864930979897389	1.2465878080009767
