"sample_name","group","PLSDA1","PLSDA2"
"JV-015-RAN-IC-M2","ctrl",5.01025249928664,-1.00021469761861
"BS-007-RAN-01-M3","ctrl",5.08134421941188,0.0380280460281264
"BS-007-RAN-02-M3","ctrl",5.4977319001077,0.366977725115872
"KT-004-SOC-16-M1","ctrl",3.83513187910478,-1.54522190997217
"BS-135-RAN-IC-M3","ctrl",6.03082228665023,0.542075967993071
"JV-070-DAV-07-M3","ctrl",4.85966302012625,-0.313062294323161
"BS-129-RAT-10-M5","ctrl",4.47492811813216,-1.22490657104786
"JV-036-SOC-10-M2","ctrl",5.35672055613055,0.448122550518629
"BS-126-RAT-05-M2","ctrl",6.07618260425147,0.386119690473975
"JV-017-RAN-10-M3","ctrl",3.28350949769562,-2.33245449138489
"JV-070-DAV-04-M1","ctrl",5.52352497377051,1.34158116728773
"BS-356-RAN-03-M4","ctrl",5.59007037559337,0.358943043832101
"JV-090-MIN-IC-M4","ctrl",4.47293938927319,-1.22711760375395
"BS-391-RAN-06-M2","ctrl",5.66896174294117,-0.526584145963546
"JV-061-MIN-03-M5","ctrl",5.87721562996565,1.02889405065754
"JV-070-MIN-01-M1","ctrl",4.82984122552511,-0.422934182163395
"KT-004-SOC-14-M1","ctrl",6.61889770000813,1.70069714938661
"JV-089-SOC-04-M1","ctrl",6.110200044504,0.0531661478755004
"BS-472-RAT-01-M1","ctrl",5.6682176163679,-0.857705125215614
"BS-172-RAT-10-M3","ctrl",6.00592980950883,0.628342273761806
"BS-082D0","exp",-7.42958723849795,1.49725075745429
"BS-364D0","exp",-8.58097123160382,1.8830141849039
"KT-313D0","exp",-9.54592326702038,0.471452110347776
"KT-412D0","exp",-13.328432623675,-2.85027833264316
"KT-445D0","exp",-11.8104324666988,-1.82051837203819
"KT-537D0","exp",-9.10660763503243,0.133397787554513
"KT-538D0","exp",-10.7369739829092,-0.508860522372046
"KT-539D0","exp",-7.42145935620159,1.57922341058754
"KT-663D0","exp",-9.56440522480009,1.32708739410091
"KT-695D0","exp",-9.31590286624995,-0.0813736306098561
"KT-723D0","exp",-9.03138919566598,0.926858421226536
