sample_name	group	tsne1	tsne2
KT-193D0	2	41.63748834254437	-46.41793023317709
KT-247D0	1	-21.652131160106133	71.41388168626028
KT-347D0	1	25.9920304636521	85.68982801326912
KT-417D0	2	2.5591561245381875	-86.59567452926908
KT-522D0	1	-23.43653750651851	56.80081477755525
KT-525D0	1	-26.430754612145122	26.888279623885655
KT-565D0	2	30.53444035974963	-54.90995683289842
KT-705D0	2	-66.55764174361208	-21.271813115970094
JV-015-RAN-IC-M2	1	-1.6215820936859766	14.705311701393688
BS-007-RAN-01-M3	1	38.95381246774851	61.48001173108074
BS-007-RAN-02-M3	2	-82.19078382970292	-5.148027706302947
KT-004-SOC-16-M1	2	-22.284073969172887	-22.508501569211706
BS-135-RAN-IC-M3	1	20.05222400605559	57.24032675418991
JV-070-DAV-07-M3	2	2.88547169102789	-1.8527222269314516
JV-036-SOC-10-M2	1	3.5476791123466436	40.702582418230094
BS-126-RAT-05-M2	2	22.920594885260012	-17.5400867106793
JV-070-DAV-04-M1	1	16.157236738736913	73.94534217485489
BS-356-RAN-03-M4	2	-60.83500902249379	-38.76367410008395
BS-391-RAN-06-M2	2	62.49425754527981	-49.87804795148451
JV-061-MIN-03-M5	2	-4.06099096404771	-48.8398607531779
JV-070-MIN-01-M1	1	52.34812308334344	3.3378833809745445
KT-004-SOC-14-M1	2	1.4108355278412854	-26.59876346352973
JV-089-SOC-04-M1	2	-12.423845446639245	-71.87920306897796
