"sample_name","group","PLSDA1","PLSDA2"
"KT-193D0","exp",0.740792967552397,-1.9040177627001
"KT-247D0","exp",4.55509623105336,-0.0647527240490672
"KT-347D0","exp",4.42232635589312,1.68913859954745
"KT-417D0","exp",-1.01138359561231,-0.734346831391224
"KT-522D0","exp",5.07258072433754,-0.0879705274840272
"KT-525D0","exp",2.87448416923951,0.32053959978892
"KT-565D0","exp",-0.27849342331261,-1.5343695986346
"KT-705D0","exp",-0.677287740191495,-0.984155493620429
"BS-082D0","ctrl",-1.10847923065517,-0.636833610554416
"BS-364D0","ctrl",-1.71523365521116,0.965201584332666
"KT-313D0","ctrl",-1.53127090819537,0.995819798065974
"KT-412D0","ctrl",-0.185977398843763,-0.785298510461612
"KT-445D0","ctrl",-2.11270398365289,0.97135499015726
"KT-537D0","ctrl",-1.31724377519848,0.117714867507152
"KT-538D0","ctrl",-1.3573513428266,0.322524487848164
"KT-539D0","ctrl",-0.920670518997424,-0.768201172363652
"KT-663D0","ctrl",-1.85625506579068,0.852266716825929
"KT-695D0","ctrl",-1.69259026624168,0.850517938810285
"KT-723D0","ctrl",-1.90033954334631,0.414867648375333
