sample_name	group	tsne1	tsne2
BS-082D03	1	-98.36946330238378	-58.57022823594768
BS-364D03	2	72.60274908467878	-44.36572444295711
KT-193D03	2	25.893429494698818	26.11335272238249
KT-247D03	2	-2.131215674644535	68.31111340942638
KT-312D03	1	35.499019838519274	-116.48654601198656
KT-313D03	1	-84.77006139489437	-15.822722307486185
KT-347D03	2	-26.57746711195645	78.19590995269701
KT-412D03	2	4.300017342447437	107.37043543511662
KT-417D03	2	136.1142745714938	-29.44786604841312
KT-445D03	2	92.1451262733065	58.39915165587115
KT-522D03	2	67.88464828773404	25.047661208226387
KT-525D03	1	-13.336818095593786	-78.69468151968226
KT-537D03	1	-68.50954307966003	-38.30199426524238
KT-538D03	2	-23.622395420403915	39.94160727984084
KT-539D03	1	-45.31243648211998	-124.0291047779767
KT-565D03	2	19.82856817297815	-15.384235935554413
KT-663D03	2	-76.02637871048458	107.29037218970933
KT-695D03	2	40.41211641639493	65.74717895598066
KT-705D03	2	-52.51595630185343	48.852993289071506
KT-723D03	1	-3.5082139082569075	-104.16667255307598
