sample_name	group	tsne1	tsne2
BS-082D0	2	56.65402948248677	46.777440034869194
BS-364D0	2	51.6240811671748	63.408665517368334
KT-193D0	1	-81.32769799619788	-38.9269092349947
KT-247D0	1	-7.65055215344501	-56.597522445415436
KT-313D0	1	-0.4999019308626927	11.891897814059007
KT-347D0	1	-18.316238587299164	-77.95696116905813
KT-412D0	1	-41.62621641463199	19.48974695890535
KT-417D0	2	24.733458773134235	22.354936859192055
KT-445D0	2	12.88399400750535	27.803189575935637
KT-522D0	1	-12.641989627683177	-50.628607887315724
KT-525D0	1	-39.87015047219816	-40.7355378673672
KT-537D0	1	-21.3766526773058	-16.883706164779174
KT-538D0	2	12.607716485010695	18.780897113019442
KT-539D0	2	55.1993867627757	80.7129493864493
KT-565D0	1	-55.72990580489107	-7.888453373195031
KT-663D0	2	32.10513831235076	30.104692876632203
KT-695D0	2	59.67841601047132	63.30072208608199
KT-705D0	2	66.09318126543172	43.90075422406093
KT-723D0	1	-8.605046385388482	-11.514273082864388
JV-015-RAN-IC-M2	1	-29.156972528144305	-34.01813790901395
BS-007-RAN-01-M3	1	-33.9888367498078	-76.45317509757383
BS-007-RAN-02-M3	2	51.23230261427377	87.08939879782628
KT-004-SOC-16-M1	1	10.605603895349667	-10.280502646857125
BS-135-RAN-IC-M3	1	-30.543689308730873	-66.40983952521034
JV-070-DAV-07-M3	1	-26.210639744711	-23.500265873814033
JV-036-SOC-10-M2	1	-28.046577789983306	-53.48964358513007
BS-126-RAT-05-M2	1	-7.252815084611942	-23.177950906507764
JV-070-DAV-04-M1	1	-22.35336743040645	-70.88055885595625
BS-356-RAN-03-M4	2	41.07763508654674	40.23067060966821
BS-391-RAN-06-M2	1	-47.38179743163862	24.16170901474257
JV-061-MIN-03-M5	1	-19.562083391846375	5.308285618655509
JV-070-MIN-01-M1	2	57.33855984278642	38.03462097380318
KT-004-SOC-14-M1	1	-11.7611440998392	-3.2618783701932834
JV-089-SOC-04-M1	2	12.068771904325375	39.25334653397729
