"sample_name","group","PLSDA1","PLSDA2"
"BS-082D0","ctrl",-1.01013483733448,0.240307932131605
"BS-364D0","ctrl",-3.81813062283429,-0.363940414888682
"KT-313D0","ctrl",-0.13079548844551,-3.93706892786925
"KT-412D0","ctrl",-5.76411413244259,-2.50909747972102
"KT-445D0","ctrl",-3.93655951236869,-1.50281330145203
"KT-537D0","ctrl",-2.5718063539995,0.217983779069941
"KT-538D0","ctrl",-0.999804230731589,0.444249136155085
"KT-539D0","ctrl",-4.26104581139572,1.27547788363386
"KT-663D0","ctrl",-7.10592955908685,1.44204635749026
"KT-695D0","ctrl",-3.5010076382741,-0.803067731646386
"KT-723D0","ctrl",-5.41506229410108,1.20521822237537
"KT-193D0","exp",5.66238005492817,2.23717191461289
"KT-247D0","exp",3.40486401899973,-0.797907007403186
"KT-312D0","exp",5.09204846160555,-2.79362273703416
"KT-347D0","exp",2.01662521119217,2.61435239221871
"KT-417D0","exp",2.25082604241456,2.43160474429126
"KT-522D0","exp",7.37183996677983,-3.02589039676091
"KT-525D0","exp",4.22164690358324,0.784386724228996
"KT-565D0","exp",5.81177989004121,1.04348967221079
"KT-705D0","exp",2.68237993146993,1.79711923835684
