sample_name	group	UMAP-1	UMAP-2
JV-015-RAN-IC-M2	2	12.532851649868872	-1.674248564627863
BS-007-RAN-01-M3	2	12.002553416836646	-0.7131689671547186
BS-007-RAN-02-M3	2	13.75877518807688	-0.5242508534462225
KT-004-SOC-16-M1	2	12.231133891690162	-1.0015591267616522
BS-135-RAN-IC-M3	2	13.463281108487037	-0.554579604056574
JV-070-DAV-07-M3	2	12.877280665982154	-1.8979157094032537
BS-129-RAT-10-M5	2	13.109343005764869	-1.4653490666420232
JV-036-SOC-10-M2	2	12.447764827359107	-0.6601227406532537
BS-126-RAT-05-M2	2	11.620452357876685	-0.9762037877113592
JV-017-RAN-10-M3	2	13.54179520760813	-1.5374749783546697
JV-070-DAV-04-M1	2	12.02111764107981	-1.6140593174965154
BS-356-RAN-03-M4	2	12.127764178860572	-0.04622112551043145
JV-090-MIN-IC-M4	2	13.67575402413645	-1.1397217396766912
BS-391-RAN-06-M2	2	12.956357432949927	-0.9079197529823553
JV-061-MIN-03-M5	2	11.333841754544165	-0.9324134472877752
JV-070-MIN-01-M1	2	12.401627971280005	-0.2833789471657049
KT-004-SOC-14-M1	2	11.830949260342505	-0.4094608906776678
JV-089-SOC-04-M1	2	11.867214633572486	-1.2973645810158025
BS-472-RAT-01-M1	2	13.241920901883033	-0.7950891140968572
BS-172-RAT-10-M3	2	13.840746356594947	-0.8501599911720525
BS-082D0	1	-22.55760149801931	1.607463967415594
BS-364D0	1	-23.74103312338552	1.5595573302238215
KT-313D0	1	-23.43794588888845	1.2371341105430353
KT-412D0	1	-23.208051250826927	2.168330561730169
KT-445D0	1	-22.89565615500173	1.4030226584403742
KT-537D0	1	-22.792110012423606	1.3783177252738703
KT-538D0	1	-22.34911303366384	1.834850442024969
KT-539D0	1	-22.706000851046653	2.3327742930381525
KT-663D0	1	-23.016757534396262	2.0661863203971613
KT-695D0	1	-22.75979189718923	1.9017533179252375
KT-723D0	1	-23.418464229952903	1.791271578881048
