sample_name	group	tsne1	tsne2
JV-015-RAN-IC-M2	2	142.83521970810895	18.072717918862093
BS-007-RAN-01-M3	2	-112.81627398547087	31.332489717633973
BS-007-RAN-02-M3	2	105.16568991264737	54.18951214434277
KT-004-SOC-16-M1	2	-97.71864634537481	59.49376754420491
BS-135-RAN-IC-M3	2	75.6164036359579	23.530534092494467
JV-070-DAV-07-M3	2	119.6665974583106	37.30616017319506
BS-129-RAT-10-M5	2	131.1255504770647	-5.399933646396226
JV-036-SOC-10-M2	2	-91.52004057684432	26.304838735086708
BS-126-RAT-05-M2	2	23.29697335655621	8.948966953280129
JV-017-RAN-10-M3	2	42.0286961119312	-31.68366531107995
JV-070-DAV-04-M1	2	-109.77361795583384	114.5451054162398
BS-356-RAN-03-M4	2	-52.68911707815547	18.48259217350148
JV-090-MIN-IC-M4	2	94.75171132241697	4.279130726746519
BS-391-RAN-06-M2	2	27.760935277674978	56.933885095912615
JV-061-MIN-03-M5	2	3.0994785099857065	87.6808016008541
JV-070-MIN-01-M1	2	-74.73033083932143	6.712590421350926
KT-004-SOC-14-M1	2	-54.80529142064921	39.52528572793823
JV-089-SOC-04-M1	2	35.331899345753435	26.287471724229874
BS-472-RAT-01-M1	2	10.245221881448789	54.38315932221975
BS-172-RAT-10-M3	2	67.79884591117089	5.541540741804419
BS-082D0	2	466.74800907264733	543.7825513530553
BS-364D0	2	31.04246395753872	-157.04144065471678
KT-313D0	1	-1228.0795032618953	-449.88151765475885
KT-412D0	2	71.67964330476585	-71.30764928378436
KT-445D0	2	30.454152413153714	-90.98187846070668
KT-537D0	2	62.941129339307814	-96.69752475286276
KT-538D0	2	99.39579015906453	-112.2156482659979
KT-539D0	2	-8.885181652799579	-91.62647249458693
KT-663D0	2	113.34726715489916	-94.15015379757956
KT-695D0	2	22.083506741814006	140.0828785773035
KT-723D0	2	54.60281806412599	-156.43009583778652
