sample_name	group	UMAP-1	UMAP-2
BS-082D0	2	0.15522899627685582	0.03518661260604894
BS-364D0	1	-0.8161483764648434	0.4134462714195255
KT-313D0	2	-0.37310037612915004	1.0394509673118595
KT-412D0	1	-1.4397526741027828	-1.0782302975654598
KT-445D0	1	-0.9713126182556149	-1.3755954861640927
KT-537D0	1	-0.1965833663940426	-1.2152108311653134
KT-538D0	1	-0.40012893676757777	0.0024183630943301893
KT-539D0	1	-0.16399774551391566	-0.5617221951484677
KT-663D0	1	-1.0333114624023434	-0.6769806504249569
KT-695D0	1	-0.7002454757690426	-0.7008167862892147
KT-723D0	1	-1.351845836639404	-0.32652202844619715
KT-193D0	2	1.512388610839844	-0.14450947046279872
KT-247D0	2	0.5323361396789554	1.6014884352684025
KT-312D0	2	0.4470662117004398	1.110809171199799
KT-347D0	2	0.628575706481934	-0.5198182225227352
KT-417D0	2	0.1637834548950199	0.5459292769432071
KT-522D0	2	1.211358451843262	0.9771393179893497
KT-525D0	2	0.8927539825439457	0.00866540670394933
KT-565D0	2	1.2602185249328617	0.37071641683578527
KT-705D0	2	0.6427167892456058	0.49415572881698644
